"GEO_ID","NAME","C16001_001E","C16001_001M","C16001_002E","C16001_002M","C16001_003E","C16001_003M","C16001_004E","C16001_004M","C16001_005E","C16001_005M","C16001_006E","C16001_006M","C16001_007E","C16001_007M","C16001_008E","C16001_008M","C16001_009E","C16001_009M","C16001_010E","C16001_010M","C16001_011E","C16001_011M","C16001_012E","C16001_012M","C16001_013E","C16001_013M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Speak only English","Margin of Error!!Total!!Speak only English","Estimate!!Total!!Spanish or Spanish Creole","Margin of Error!!Total!!Spanish or Spanish Creole","Estimate!!Total!!French (including Patois, Creole, Cajun)","Margin of Error!!Total!!French (including Patois, Creole, Cajun)","Estimate!!Total!!German or other West Germanic languages","Margin of Error!!Total!!German or other West Germanic languages","Estimate!!Total!!Slavic languages","Margin of Error!!Total!!Slavic languages","Estimate!!Total!!Other Indo-European languages","Margin of Error!!Total!!Other Indo-European languages","Estimate!!Total!!Korean","Margin of Error!!Total!!Korean","Estimate!!Total!!Chinese","Margin of Error!!Total!!Chinese","Estimate!!Total!!Vietnamese","Margin of Error!!Total!!Vietnamese","Estimate!!Total!!Tagalog","Margin of Error!!Total!!Tagalog","Estimate!!Total!!Other Asian and Pacific Island languages","Margin of Error!!Total!!Other Asian and Pacific Island languages","Estimate!!Total!!Other and unspecified languages","Margin of Error!!Total!!Other and unspecified languages"
"0500000US37135","Orange County, North Carolina","134447","612","111187","1964","10277","956","995","547","642","396","1043","582","1531","575","677","545","2549","1347","627","506","479","478","3888","2519","552","395"
"0500000US37183","Wake County, North Carolina","933705","373","779040","5484","77542","3462","3391","893","2800","875","2232","926","23404","3521","3723","1482","10445","3046","2175","1325","3098","1189","11471","2608","14384","3345"
"0500000US38017","Cass County, North Dakota","155744","532","143013","2561","1609","749","635","692","587","373","1774","1578","2672","800","58","76","951","668","0","147","0","147","417","476","4028","1433"
"0500000US38035","Grand Forks County, North Dakota","65120","526","60633","1044","1214","637","161","226","239","200","13","22","654","351","103","132","218","211","53","85","46","87","472","298","1314","1053"
"0500000US38101","Ward County, North Dakota","64220","299","60678","1209","1502","910","535","509","212","208","104","104","647","567","342","281","21","51","0","147","43","80","122","190","14","30"
"0500000US39017","Butler County, Ohio","350856","116","326189","3337","11205","2319","1160","720","790","409","233","280","4701","1609","112","188","2167","751","931","572","244","250","1312","1287","1812","1456"
"0500000US39023","Clark County, Ohio","128259","256","122362","1214","3969","1037","164","142","721","383","56","95","279","205","44","62","358","327","24","41","24","45","258","207","0","185"
"0500000US39025","Clermont County, Ohio","189943","425","184697","1507","1974","925","338","244","740","447","62","109","599","452","50","88","567","437","41","76","0","185","499","445","376","407"
"0500000US39035","Cuyahoga County, Ohio","1187508","128","1055831","7038","43953","2882","2486","890","3838","821","21890","3901","22997","3389","2163","841","8032","1710","1453","869","1473","822","4342","1287","19050","3409"
"0500000US39041","Delaware County, Ohio","177480","194","165649","1667","2810","884","755","527","686","385","628","488","2413","1107","60","106","1536","827","530","663","148","245","1718","744","547","437"
"0500000US39049","Franklin County, Ohio","1142741","241","1004594","8637","41387","3402","7001","2628","3143","1001","5854","2048","19652","3462","3308","1693","11973","2401","1869","1179","1222","671","11369","2487","31369","5936"
"0500000US39057","Greene County, Ohio","154746","381","145260","1750","2507","945","622","578","465","313","171","224","721","526","426","367","820","576","910","801","366","296","880","575","1598","1105"
"0500000US39061","Hamilton County, Ohio","753185","2","701675","4775","17098","2414","4902","1859","2622","692","2196","851","9106","2120","503","374","2216","1020","612","448","478","629","4375","1482","7402","2865"
"0500000US39085","Lake County, Ohio","218069","60","203002","2174","5542","1295","339","289","1025","429","3795","1136","2669","1075","117","196","509","442","0","185","0","185","756","777","315","258"
"0500000US39093","Lorain County, Ohio","287116","199","264947","2605","15637","2024","408","342","300","232","1175","637","1206","655","197","309","547","324","47","80","283","436","712","550","1657","1100"
"0500000US39095","Lucas County, Ohio","407702","262","379833","3346","8918","1879","1171","455","1104","684","2161","1195","3067","1013","643","626","2018","1124","825","593","219","205","800","675","6943","2488"
"0500000US39099","Mahoning County, Ohio","221287","158","208651","1569","6604","1142","312","319","948","424","716","432","2862","1175","146","146","250","319","114","200","0","185","472","466","212","153"
"0500000US39103","Medina County, Ohio","166607","602","158142","1907","1712","718","157","121","857","510","1304","714","1639","926","16","35","1168","1086","114","205","118","164","202","247","1178","1163"
"0500000US39113","Montgomery County, Ohio","500416","3","471780","3180","9265","1571","1190","558","1815","707","820","559","3292","1204","339","322","1772","891","1481","940","324","288","4992","2476","3346","1383"
"0500000US39133","Portage County, Ohio","155021","157","149279","1187","583","338","64","100","1025","798","826","537","683","405","0","185","1295","573","62","133","190","221","525","575","489","443"
"0500000US39151","Stark County, Ohio","355270","200","343497","1879","3509","1137","432","304","1468","707","1710","1050","3139","832","57","70","187","188","0","185","218","214","616","695","437","329"
"0500000US39153","Summit County, Ohio","510948","197","484143","2840","4711","1104","1388","547","1858","712","1777","773","7152","1898","568","421","1956","1034","733","723","446","512","3396","1087","2820","1400"
"0500000US39155","Trumbull County, Ohio","194351","280","184738","1852","1739","718","268","212","4131","1456","439","300","1835","694","35","70","325","239","172","248","81","105","393","308","195","251"
"0500000US39165","Warren County, Ohio","207810","683","191473","3082","4753","1726","336","356","677","444","993","568","2578","1231","0","185","2660","1253","240","293","69","121","2709","1318","1322","1418"
"0500000US39173","Wood County, Ohio","122490","577","116163","1525","2241","679","430","258","537","422","332","337","568","537","319","372","818","503","0","185","129","199","315","351","638","664"
"0500000US40027","Cleveland County, Oklahoma","253952","*****","227034","2776","12275","1966","678","437","1388","706","518","421","1985","847","236","242","1703","669","5425","1302","378","281","1130","568","1202","709"
"0500000US40031","Comanche County, Oklahoma","115555","338","105028","1917","4923","1234","332","265","1693","697","155","217","75","94","419","380","59","91","150","235","408","274","538","477","1775","852"
