"GEO_ID","NAME","C16001_001E","C16001_001M","C16001_002E","C16001_002M","C16001_003E","C16001_003M","C16001_004E","C16001_004M","C16001_005E","C16001_005M","C16001_006E","C16001_006M","C16001_007E","C16001_007M","C16001_008E","C16001_008M","C16001_009E","C16001_009M","C16001_010E","C16001_010M","C16001_011E","C16001_011M","C16001_012E","C16001_012M","C16001_013E","C16001_013M","C16001_014E","C16001_014M","C16001_015E","C16001_015M","C16001_016E","C16001_016M","C16001_017E","C16001_017M","C16001_018E","C16001_018M","C16001_019E","C16001_019M","C16001_020E","C16001_020M","C16001_021E","C16001_021M","C16001_022E","C16001_022M","C16001_023E","C16001_023M","C16001_024E","C16001_024M","C16001_025E","C16001_025M","C16001_026E","C16001_026M","C16001_027E","C16001_027M","C16001_028E","C16001_028M","C16001_029E","C16001_029M","C16001_030E","C16001_030M","C16001_031E","C16001_031M","C16001_032E","C16001_032M","C16001_033E","C16001_033M","C16001_034E","C16001_034M","C16001_035E","C16001_035M","C16001_036E","C16001_036M","C16001_037E","C16001_037M","C16001_038E","C16001_038M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Speak only English","Margin of Error!!Total!!Speak only English","Estimate!!Total!!Spanish","Margin of Error!!Total!!Spanish","Estimate!!Total!!Spanish!!Speak English "very well"","Margin of Error!!Total!!Spanish!!Speak English "very well"","Estimate!!Total!!Spanish!!Speak English less than "very well"","Margin of Error!!Total!!Spanish!!Speak English less than "very well"","Estimate!!Total!!French, Haitian, or Cajun","Margin of Error!!Total!!French, Haitian, or Cajun","Estimate!!Total!!French, Haitian, or Cajun!!Speak English "very well"","Margin of Error!!Total!!French, Haitian, or Cajun!!Speak English "very well"","Estimate!!Total!!French, Haitian, or Cajun!!Speak English less than "very well"","Margin of Error!!Total!!French, Haitian, or Cajun!!Speak English less than "very well"","Estimate!!Total!!German or other West Germanic languages","Margin of Error!!Total!!German or other West Germanic languages","Estimate!!Total!!German or other West Germanic languages!!Speak English "very well"","Margin of Error!!Total!!German or other West Germanic languages!!Speak English "very well"","Estimate!!Total!!German or other West Germanic languages!!Speak English less than "very well"","Margin of Error!!Total!!German or other West Germanic languages!!Speak English less than "very well"","Estimate!!Total!!Russian, Polish, or other Slavic languages","Margin of Error!!Total!!Russian, Polish, or other Slavic languages","Estimate!!Total!!Russian, Polish, or other Slavic languages!!Speak English "very well"","Margin of Error!!Total!!Russian, Polish, or other Slavic languages!!Speak English "very well"","Estimate!!Total!!Russian, Polish, or other Slavic languages!!Speak English less than "very well"","Margin of Error!!Total!!Russian, Polish, or other Slavic languages!!Speak English less than "very well"","Estimate!!Total!!Other Indo-European languages","Margin of Error!!Total!!Other Indo-European languages","Estimate!!Total!!Other Indo-European languages!!Speak English "very well"","Margin of Error!!Total!!Other Indo-European languages!!Speak English "very well"","Estimate!!Total!!Other Indo-European languages!!Speak English less than "very well"","Margin of Error!!Total!!Other Indo-European languages!!Speak English less than "very well"","Estimate!!Total!!Korean","Margin of Error!!Total!!Korean","Estimate!!Total!!Korean!!Speak English "very well"","Margin of Error!!Total!!Korean!!Speak English "very well"","Estimate!!Total!!Korean!!Speak English less than "very well"","Margin of Error!!Total!!Korean!!Speak English less than "very well"","Estimate!!Total!!Chinese (incl. Mandarin, Cantonese)","Margin of Error!!Total!!Chinese (incl. Mandarin, Cantonese)","Estimate!!Total!!Chinese (incl. Mandarin, Cantonese)!!Speak English "very well"","Margin of Error!!Total!!Chinese (incl. Mandarin, Cantonese)!!Speak English "very well"","Estimate!!Total!!Chinese (incl. Mandarin, Cantonese)!!Speak English less than "very well"","Margin of Error!!Total!!Chinese (incl. Mandarin, Cantonese)!!Speak English less than "very well"","Estimate!!Total!!Vietnamese","Margin of Error!!Total!!Vietnamese","Estimate!!Total!!Vietnamese!!Speak English "very well"","Margin of Error!!Total!!Vietnamese!!Speak English "very well"","Estimate!!Total!!Vietnamese!!Speak English less than "very well"","Margin of Error!!Total!!Vietnamese!!Speak English less than "very well"","Estimate!!Total!!Tagalog (incl. Filipino)","Margin of Error!!Total!!Tagalog (incl. Filipino)","Estimate!!Total!!Tagalog (incl. Filipino)!!Speak English "very well"","Margin of Error!!Total!!Tagalog (incl. Filipino)!!Speak English "very well"","Estimate!!Total!!Tagalog (incl. Filipino)!!Speak English less than "very well"","Margin of Error!!Total!!Tagalog (incl. Filipino)!!Speak English less than "very well"","Estimate!!Total!!Other Asian and Pacific Island languages","Margin of Error!!Total!!Other Asian and Pacific Island languages","Estimate!!Total!!Other Asian and Pacific Island languages!!Speak English "very well"","Margin of Error!!Total!!Other Asian and Pacific Island languages!!Speak English "very well"","Estimate!!Total!!Other Asian and Pacific Island languages!!Speak English less than "very well"","Margin of Error!!Total!!Other Asian and Pacific Island languages!!Speak English less than "very well"","Estimate!!Total!!Arabic","Margin of Error!!Total!!Arabic","Estimate!!Total!!Arabic!!Speak English "very well"","Margin of Error!!Total!!Arabic!!Speak English "very well"","Estimate!!Total!!Arabic!!Speak English less than "very well"","Margin of Error!!Total!!Arabic!!Speak English less than "very well"","Estimate!!Total!!Other and unspecified languages","Margin of Error!!Total!!Other and unspecified languages","Estimate!!Total!!Other and unspecified languages!!Speak English "very well"","Margin of Error!!Total!!Other and unspecified languages!!Speak English "very well"","Estimate!!Total!!Other and unspecified languages!!Speak English less than "very well"","Margin of Error!!Total!!Other and unspecified languages!!Speak English less than "very well""
"0500000US01073","Jefferson County, Alabama","617551","5","583391","2459","20221","1835","10040","2204","10181","2384","1118","467","1013","446","105","135","1011","593","871","567","140","172","252","233","252","233","0","201","5969","1765","4310","1453","1659","852","1027","602","377","316","650","410","1658","724","616","411","1042","511","272","372","179","236","93","143","361","299","272","221","89","119","1181","675","829","591","352","296","680","539","590","529","90","107","410","383","289","324","121","194"
"0500000US01089","Madison County, Alabama","345020","471","321350","2887","11321","1996","6320","1394","5001","1461","1532","1058","1141","997","391","447","1408","688","928","468","480","491","576","572","576","572","0","201","4089","1414","3395","1419","694","505","561","590","251","248","310","396","1836","1052","614","466","1222","741","0","201","0","201","0","201","144","246","0","201","144","246","916","620","789","600","127","203","118","143","118","143","0","201","1169","908","1169","908","0","201"
"0500000US01101","Montgomery County, Alabama","210629","280","196094","1677","6064","1075","3809","978","2255","658","50","85","50","85","0","201","1056","534","969","552","87","120","126","202","60","97","66","105","517","506","195","264","322","300","2054","934","564","415","1490","705","504","480","161","175","343","336","1187","915","509","397","678","642","450","310","410","309","40","73","1238","615","767","452","471","277","814","912","0","201","814","912","475","466","280","253","195","365"
"0500000US02020","Anchorage Municipality, Alaska","270594","*****","220958","4052","13460","2680","9870","2455","3590","1587","606","452","530","432","76","126","2171","847","1553","754","618","394","1391","604","1250","569","141","172","2036","1008","1096","545","940","666","1933","1187","718","469","1215","890","965","793","616","524","349","465","100","175","100","175","0","157","10883","2993","6651","2589","4232","1691","11166","2922","8377","2264","2789","1100","237","375","237","375","0","157","4688","2080","4120","1745","568","492"
"0500000US04013","Maricopa County, Arizona","4131340","480","2986970","19177","866623","14373","582017","13812","284606","9077","11070","2334","8868","2101","2202","848","14545","2414","13731","2279","814","341","20115","3486","13922","2286","6193","1881","62014","6783","47236","5466","14778","3339","5151","1318","2933","869","2218","827","27661","4054","15011","2502","12650","2366","18341","4315","8117","2262","10224","3018","20783","3630","16559","3396","4224","1347","35554","4377","25857","3447","9697","2192","20320","5199","13991","4139","6329","1991","42193","6009","29439","4636","12754","4108"
"0500000US04019","Pima County, Arizona","980761","5","695617","10288","232803","8473","163006","6826","69797","5279","4057","1298","3382","1094","675","512","3308","1016","3007","991","301","201","2411","809","1835","740","576","321","8823","2203","7690","1727","1133","813","1984","1042","956","485","1028","735","5714","1723","3613","1553","2101","680","2888","1201","1053","623","1835","1016","1958","830","1452","705","506","359","4044","1418","3044","1029","1000","588","4391","2223","2864","1707","1527","788","12763","3060","9278","2401","3485","1736"
"0500000US04021","Pinal County, Arizona","421962","315","340580","5328","68168","5365","46654","4404","21514","3623","795","421","781","420","14","27","1132","696","1069","655","63","107","419","320","289","230","130","217","1554","819","1083","773","471","323","442","344","262","268","180","211","1168","921","798","516","370","563","342","455","0","211","342","455","1684","803","959","563","725","578","1677","809","609","404","1068","622","752","390","614","372","138","216","3249","973","3141","985","108","115"
"0500000US05119","Pulaski County, Arkansas","366976","384","339090","2804","17300","2042","9283","2196","8017","2051","454","342","357","297","97","166","129","110","88","84","41","70","451","398","228","280","223","274","2131","1388","1311","772","820","919","862","721","0","201","862","721","962","660","221","244","741","566","846","874","406","574","440","506","470","476","66","119","404","463","2653","1520","1556","1028","1097","652","400","350","400","350","0","201","1228","707","800","493","428","364"
"0500000US06001","Alameda County, California","1569979","148","841610","11817","259196","6878","174865","7305","84331","5177","7753","1987","6611","1809","1142","595","4822","1289","4563","1254","259","255","9378","1614","6697","1337","2681","824","110073","9546","85345","8397","24728","3890","14363","2377","8145","1666","6218","1685","142529","8170","67004","4902","75525","5209","30129","5487","14217","3247","15912","3155","57254","6597","43650","5406","13604","2686","65283","6678","48937","5296","16346","2769","11673","3485","7750","2531","3923","1600","15916","3055","10960","2548","4956","1506"
