"GEO_ID","NAME","C16001_024M","C16001_025E","C16001_025M","C16001_026E","C16001_026M","C16001_027E","C16001_027M","C16001_028E","C16001_028M","C16001_029E","C16001_029M","C16001_030E","C16001_030M","C16001_031E","C16001_031M","C16001_032E","C16001_032M","C16001_033E","C16001_033M","C16001_034E","C16001_034M","C16001_035E","C16001_035M","C16001_036E","C16001_036M","C16001_037E","C16001_037M","C16001_038E","C16001_038M","C16001_001E","C16001_001M","C16001_002E","C16001_002M","C16001_003E","C16001_003M","C16001_004E","C16001_004M","C16001_005E","C16001_005M","C16001_006E","C16001_006M","C16001_007E","C16001_007M","C16001_008E","C16001_008M","C16001_009E","C16001_009M","C16001_010E","C16001_010M","C16001_011E","C16001_011M","C16001_012E","C16001_012M","C16001_013E","C16001_013M","C16001_014E","C16001_014M","C16001_015E","C16001_015M","C16001_016E","C16001_016M","C16001_017E","C16001_017M","C16001_018E","C16001_018M","C16001_019E","C16001_019M","C16001_020E","C16001_020M","C16001_021E","C16001_021M","C16001_022E","C16001_022M","C16001_023E","C16001_023M","C16001_024E"
"id","Geographic Area Name","Margin of Error!!Total!!Vietnamese","Estimate!!Total!!Vietnamese!!Speak English "very well"","Margin of Error!!Total!!Vietnamese!!Speak English "very well"","Estimate!!Total!!Vietnamese!!Speak English less than "very well"","Margin of Error!!Total!!Vietnamese!!Speak English less than "very well"","Estimate!!Total!!Tagalog (incl. Filipino)","Margin of Error!!Total!!Tagalog (incl. Filipino)","Estimate!!Total!!Tagalog (incl. Filipino)!!Speak English "very well"","Margin of Error!!Total!!Tagalog (incl. Filipino)!!Speak English "very well"","Estimate!!Total!!Tagalog (incl. Filipino)!!Speak English less than "very well"","Margin of Error!!Total!!Tagalog (incl. Filipino)!!Speak English less than "very well"","Estimate!!Total!!Other Asian and Pacific Island languages","Margin of Error!!Total!!Other Asian and Pacific Island languages","Estimate!!Total!!Other Asian and Pacific Island languages!!Speak English "very well"","Margin of Error!!Total!!Other Asian and Pacific Island languages!!Speak English "very well"","Estimate!!Total!!Other Asian and Pacific Island languages!!Speak English less than "very well"","Margin of Error!!Total!!Other Asian and Pacific Island languages!!Speak English less than "very well"","Estimate!!Total!!Arabic","Margin of Error!!Total!!Arabic","Estimate!!Total!!Arabic!!Speak English "very well"","Margin of Error!!Total!!Arabic!!Speak English "very well"","Estimate!!Total!!Arabic!!Speak English less than "very well"","Margin of Error!!Total!!Arabic!!Speak English less than "very well"","Estimate!!Total!!Other and unspecified languages","Margin of Error!!Total!!Other and unspecified languages","Estimate!!Total!!Other and unspecified languages!!Speak English "very well"","Margin of Error!!Total!!Other and unspecified languages!!Speak English "very well"","Estimate!!Total!!Other and unspecified languages!!Speak English less than "very well"","Margin of Error!!Total!!Other and unspecified languages!!Speak English less than "very well"","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Speak only English","Margin of Error!!Total!!Speak only English","Estimate!!Total!!Spanish","Margin of Error!!Total!!Spanish","Estimate!!Total!!Spanish!!Speak English "very well"","Margin of Error!!Total!!Spanish!!Speak English "very well"","Estimate!!Total!!Spanish!!Speak English less than "very well"","Margin of Error!!Total!!Spanish!!Speak English less than "very well"","Estimate!!Total!!French, Haitian, or Cajun","Margin of Error!!Total!!French, Haitian, or Cajun","Estimate!!Total!!French, Haitian, or Cajun!!Speak English "very well"","Margin of Error!!Total!!French, Haitian, or Cajun!!Speak English "very well"","Estimate!!Total!!French, Haitian, or Cajun!!Speak English less than "very well"","Margin of Error!!Total!!French, Haitian, or Cajun!!Speak English less than "very well"","Estimate!!Total!!German or other West Germanic languages","Margin of Error!!Total!!German or other West Germanic languages","Estimate!!Total!!German or other West Germanic languages!!Speak English "very well"","Margin of Error!!Total!!German or other West Germanic languages!!Speak English "very well"","Estimate!!Total!!German or other West Germanic languages!!Speak English less than "very well"","Margin of Error!!Total!!German or other West Germanic languages!!Speak English less than "very well"","Estimate!!Total!!Russian, Polish, or other Slavic languages","Margin of Error!!Total!!Russian, Polish, or other Slavic languages","Estimate!!Total!!Russian, Polish, or other Slavic languages!!Speak English "very well"","Margin of Error!!Total!!Russian, Polish, or other Slavic languages!!Speak English "very well"","Estimate!!Total!!Russian, Polish, or other Slavic languages!!Speak English less than "very well"","Margin of Error!!Total!!Russian, Polish, or other Slavic languages!!Speak English less than "very well"","Estimate!!Total!!Other Indo-European languages","Margin of Error!!Total!!Other Indo-European languages","Estimate!!Total!!Other Indo-European languages!!Speak English "very well"","Margin of Error!!Total!!Other Indo-European languages!!Speak English "very well"","Estimate!!Total!!Other Indo-European languages!!Speak English less than "very well"","Margin of Error!!Total!!Other Indo-European languages!!Speak English less than "very well"","Estimate!!Total!!Korean","Margin of Error!!Total!!Korean","Estimate!!Total!!Korean!!Speak English "very well"","Margin of Error!!Total!!Korean!!Speak English "very well"","Estimate!!Total!!Korean!!Speak English less than "very well"","Margin of Error!!Total!!Korean!!Speak English less than "very well"","Estimate!!Total!!Chinese (incl. Mandarin, Cantonese)","Margin of Error!!Total!!Chinese (incl. Mandarin, Cantonese)","Estimate!!Total!!Chinese (incl. Mandarin, Cantonese)!!Speak English "very well"","Margin of Error!!Total!!Chinese (incl. Mandarin, Cantonese)!!Speak English "very well"","Estimate!!Total!!Chinese (incl. Mandarin, Cantonese)!!Speak English less than "very well"","Margin of Error!!Total!!Chinese (incl. Mandarin, Cantonese)!!Speak English less than "very well"","Estimate!!Total!!Vietnamese"
"0500000US28151","Washington County, Mississippi","21","0","27","9","21","0","27","0","27","0","27","21","31","21","31","0","27","33","53","24","38","9","16","10","17","10","17","0","27","43472","78","42519","180","566","117","272","101","294","101","81","67","50","49","31","45","32","33","32","33","0","27","53","71","9","14","44","69","114","121","11","29","103","118","4","7","0","27","4","7","30","33","5","9","25","31","9"
"0500000US28111","Perry County, Mississippi","20","0","20","0","20","8","13","8","13","0","20","0","20","0","20","0","20","28","44","28","44","0","20","0","20","0","20","0","20","11300","18","11230","56","22","19","22","19","0","20","0","20","0","20","0","20","12","17","12","17","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0"
"0500000US28019","Choctaw County, Mississippi","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","9","16","0","18","9","16","0","18","0","18","0","18","7863","82","7816","80","23","23","21","22","2","5","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","15","24","15","24","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0"
"0500000US28057","Itawamba County, Mississippi","12","0","24","6","12","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","25","25","0","24","25","25","22218","85","21783","184","205","96","118","71","87","45","135","141","127","138","8","11","13","21","13","21","0","24","0","24","0","24","0","24","51","65","17","25","34","41","0","24","0","24","0","24","0","24","0","24","0","24","6"
"0500000US28015","Carroll County, Mississippi","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","9674","*****","9647","36","27","35","0","20","27","35","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0"
"0500000US28043","Grenada County, Mississippi","24","0","24","0","24","38","62","38","62","0","24","0","24","0","24","0","24","0","24","0","24","0","24","8","14","8","14","0","24","19920","*****","19754","107","66","68","20","25","46","63","36","40","36","40","0","24","7","13","7","13","0","24","0","24","0","24","0","24","11","20","11","20","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0"
"0500000US28063","Jefferson County, Mississippi","18","0","18","0","18","28","43","0","18","28","43","0","18","0","18","0","18","0","18","0","18","0","18","7","12","7","12","0","18","6888","2","6787","81","46","41","7","14","39","41","15","27","15","27","0","18","0","18","0","18","0","18","0","18","0","18","0","18","5","56","0","18","5","56","0","18","0","18","0","18","0","18","0","18","0","18","0"
"0500000US28041","Greene County, Mississippi","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","3","6","3","6","0","20","13072","23","12926","113","134","116","45","40","89","107","5","10","5","10","0","20","0","20","0","20","0","20","0","20","0","20","0","20","4","8","4","8","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0"
"0500000US28093","Marshall County, Mississippi","27","0","27","0","27","2","4","2","4","0","27","0","27","0","27","0","27","57","57","16","33","41","46","0","27","0","27","0","27","33654","91","32469","201","1071","226","815","234","256","153","18","25","6","13","12","21","1","3","1","3","0","27","14","23","0","27","14","23","22","33","22","33","0","27","0","27","0","27","0","27","0","27","0","27","0","27","0"
